Front,Back
雷,"<b>Word/Phrase</b>: 雷<br><b>Romaji</b>: kaminari<br><b>Meaning</b>: thunder<br><b>Example</b>: 雷が鳴ると、空全体が振動するかのように感じ、私は本能的に身を縮めてしまいます。
kaminari ga naru to, sora zentai ga shindō suru ka no yō ni kanji, watashi wa hon'nōteki ni mi o chījimete shimaimasu.
(When thunder roars, I feel as if the entire sky is vibrating, and I instinctively cower in fear.)

雷の音が山間に響き渡ると、その低い周波数が胸に重くのしかかり、外出する気力を完全に奪われます。
kaminari no oto ga yama-aida ni hibikiwataru to, sono hikui shūhasū ga mune ni omoku noshikakari, gaishutsu suru kiryoku o kanzen ni ubawaremasu.
(The deep rumble of thunder echoing through the mountains presses heavily on my chest, completely draining my will to go outside.)"
化石,"<b>Word/Phrase</b>: 化石<br><b>Romaji</b>: kaseki<br><b>Meaning</b>: fosil<br><b>Example</b>: 化石はとても古いもので、地球の歴史を知るために大切な手がかりです
Kaseki wa totemo furui mono de, chikyū no rekishi o shiru tame ni taisetsu na tegakari desu
(Fossils are very old and serve as crucial evidence for uncovering the long and complex history of our planet)

その化石は、約1億年前の恐竜のものだと考えられています
Sono kaseki wa, yaku ichi-oku nen mae no kyōryū no mono da to kangaerarete imasu
(Paleontologists believe that this particular fossil originated from a dinosaur that roamed the Earth roughly 100 million years ago)"
革,"<b>Word/Phrase</b>: 革<br><b>Romaji</b>: kawa<br><b>Meaning</b>: leather (olahan)<br><b>Example</b>: 革で作られたバッグは、日々の使用にも耐えられるように、特別な加工が施されている。
kawa de tsukurareta baggu wa, hibi no shiyō ni mo taerareru yō ni, tokubetsu na kakō ga shikisarete iru.
(Leather bags are treated with special processing so they can withstand daily use.)

この町に住む職人は、何十年も前から受け継がれてきた技術を活かし、上質な革で靴を丁寧に仕上げている。
kono machi ni sumu shokunin wa, nanjūnen mo mae kara uketsugararete kita gijutsu o ikashi, jōshitsu na kawa de kutsu o teinei ni shiagete iru.
(The artisans in this town utilize techniques passed down for decades to carefully finish shoes with high-quality leather.)"
皮,"<b>Word/Phrase</b>: 皮<br><b>Romaji</b>: kawa<br><b>Meaning</b>: leather (mentah)<br><b>Example</b>: 犬の皮は柔らかくて触り心地がいいですけど、皮を剥ぐのは難しいです
inu no kawa wa yawarakakute sawarigokochi ga ii desu kedo, kawa o hagu no wa muzukashii desu
(The dog's leather is soft and pleasant to touch, but removing it is difficult)

猫の皮は人間の皮よりも薄いと言われていますが、実際に触ると意外と固いです
neko no kawa wa ningen no kawa yori mo usui to iwarete imasu ga, jissai ni sawaru to igai to katai desu
(It is said that a cat's leather is thinner than human leather, but when you actually touch it, it is surprisingly firm)"
風,"<b>Word/Phrase</b>: 風<br><b>Romaji</b>: kaze<br><b>Meaning</b>: angin<br><b>Example</b>: 風が吹き始めると、木々の葉が一斉に揺れ、秋の訪れを感じさせた
kaze ga fukihajimeru to, kigi no ha ga issei ni yure, aki no otozure o kanjiseta
(Ketika angin mulai bertiup, daun-daun pohon bergoyang serentak, membuatku merasakan kedatangan musim gugur)

風の強い日、洗濯物が外に干せず、部屋の中に干すことにした
kaze no tsuyoi hi, sentakumono ga soto ni hosenzu, heya no naka ni hosu koto ni shita
(Hari ini anginnya sangat kencang, jadi pakaian yang dicuci tidak bisa dijemur di luar dan akhirnya saya menjemurnya di dalam ruangan)"
煙,"<b>Word/Phrase</b>: 煙<br><b>Romaji</b>: kemuri<br><b>Meaning</b>: asap<br><b>Example</b>: 煙が空を黒く染め、遠くからサイレンの音が響き渡り、火事のにおいが鼻を突く
kemuri ga sora o kuroku someru, tōku kara sairen no oto ga hibikiwataru, kaji no nioi ga hana o tsuku
(The smoke dyed the sky black, the sound of sirens echoed from afar, and the smell of fire stung my nose)

煙が目にしみて涙が止まらず、咳き込みながら非常口へと走った
kemuri ga me ni shimite namida ga tomarazu, sekikomi nagara hijōguchi e to hashitta
(The smoke stung my eyes, tears wouldn’t stop, and I ran toward the emergency exit while coughing violently)"
景色,"<b>Word/Phrase</b>: 景色<br><b>Romaji</b>: keshiki<br><b>Meaning</b>: scenery<br><b>Example</b>: 山から見た景色はとてもきれいで、空が青くて雲が白く、遠くの谷まで見渡せました
Yama kara mita keshiki wa totemo kirei de, sora ga aoku te kumo ga shiroku, tōku no tani made miwatasemashita
(The scenery from the mountain was very beautiful, with the sky blue and clouds white, and I could see all the way to the distant valley)

この公園の景色は四季折々に変わりますが、春の桜が咲く時が一番きれいです。特に夕暮れ時のピンク色の空と桜の組み合わせは、言葉では言い表せないほど美しいです
Kono kōen no keshiki wa shiki oriori ni kawarimasu ga, haru no sakura ga saku toki ga ichiban kirei desu. Toku ni yūgure-doki no pinku-iro no sora to sakura no kumiawase wa, kotoba de wa iiarawasenai hodo utsukushii desu
(The scenery in this park changes with each season, but it is most beautiful when the cherry blossoms bloom in spring. Especially at dusk, the combination of the pink sky and cherry blossoms is indescribably beautiful)"
金属,"<b>Word/Phrase</b>: 金属<br><b>Romaji</b>: kinzoku<br><b>Meaning</b>: metal<br><b>Example</b>: 工場で作られる金属の部品は、強さと耐久性に優れているため、機械や建物に広く利用されていますが、重量があるので運搬時には注意が必要です。
kōjō de tsukurareru kinzoku no buhin wa, tsuyosa to taikyūsei ni sugureteiru tame, kikai ya tatemono ni hiroku riyō sareteimasu ga, jūryō ga aru node unsōji ni wa chūi ga hitsuyō desu.
(The metal parts produced in factories are widely used in machinery and buildings due to their strength and durability, but their weight requires caution during transportation.)

この地域にある古い金属製の橋は、長い間、川の上で人々の生活を支え続けており、その頑丈さが地域の発展に貢献してきました。
kono chiiki ni aru furui kinzoku-sei no hashi wa, nagai aida, kawa no ue de hitobito no seikatsu o sasae tsudzuketeori, sono ganjōsa ga chiiki no hatten ni kōken shitekimashita.
(The old metal bridge in this area has long supported people’s lives over the river, and its sturdiness has contributed to the region’s development.)"
曇,"<b>Word/Phrase</b>: 曇<br><b>Romaji</b>: kumo<br><b>Meaning</b>: awan<br><b>Example</b>: 曇りの日はいつもより少し寒く感じるから、コートを着て出かけるのがいいと思います
kumori no hi wa itsumo yori sukoshi samuku kanjiru kara, kōto o kite dekakeru no ga ii to omoimasu
(I always feel a bit colder on cloudy days, so I think it’s best to wear a coat when going out)"
空気,"<b>Word/Phrase</b>: 空気<br><b>Romaji</b>: kuuki<br><b>Meaning</b>: udara<br><b>Example</b>: 部屋に入った瞬間、その場の空気が張り詰めていることに気づき、自然と声の大きさを控えた。
Heya ni haitta shunkan, sono ba no kūki ga haritsumete iru koto ni kizuki, shizen to koe no ōkisa o hikaeta.
(The moment I stepped into the room, I noticed the tense atmosphere and instinctively lowered my voice.)

日本の職場では、上司の表情だけで空気が読める社員が、信頼を得やすいと言われている。
Nihon no shokuba de wa, jōshi no hyōjō dake de kūki ga yomeru shain ga, shinrai o eyasui to iwarete iru."
水,"<b>Word/Phrase</b>: 水<br><b>Romaji</b>: mizu<br><b>Meaning</b>: air<br><b>Example</b>: この公園には大きな池があり、水がきれいで、魚が泳いでいます
Kono kōen ni wa ōkina ike ga ari, mizu ga kirei de, sakana ga oyoide imasu
(This park has a large pond with clean water where fish swim gracefully.)"
波,"<b>Word/Phrase</b>: 波<br><b>Romaji</b>: nami<br><b>Meaning</b>: wave<br><b>Example</b>: 海の波は夕焼けに照らされ、金色に輝いてとても美しかった
umi no nami wa yūyake ni terasare, kin'iro ni kagayaite totemo utsukushikatta
(The waves in the sea, illuminated by the sunset, shimmered golden and were very beautiful)

そして、私たちは砂浜に座り、その波の音を聞きながら、人生や夢についてゆっくりと話し合った
soshite, watashitachi wa sunahama ni suwari, sono nami no oto o kikinagara, jinsei ya yume ni tsuite yukkuri to hanashiatta
(Then, we sat on the sandy beach, listening to the sound of the waves, and talked slowly about life and dreams)"
涙,"<b>Word/Phrase</b>: 涙<br><b>Romaji</b>: namida<br><b>Meaning</b>: tears<br><b>Example</b>: 目を拭いても涙はまだ止まらないまま、胸の痛みが広がっていく
Me o fuite mo namida wa mada tomaranai mama, mune no itami ga hirogatte iku
(Even as I wipe my eyes, the tears still won’t stop, and the ache in my chest keeps spreading)

長年の別れが近づくにつれ、彼女の頬を涙が静かに伝い落ちた
Naganen no wakare ga chikazuku ni tsure, kanojo no hō o namida ga shizuka ni tsutaiochita
(As the long-awaited farewell drew near, tears silently streamed down her cheeks)"
燃料,"<b>Word/Phrase</b>: 燃料<br><b>Romaji</b>: nenryou<br><b>Meaning</b>: fuel<br><b>Example</b>: 車の燃料計が空を指したまま、何度エンジンを回してもかからない。遠くの町への旅は、仕方なく中止になった。
Kuruma no nenryoukei ga kara o sashita mama, nando enjin o mawashite mo kakaranai. Tooku no machi e no tabi wa, shikatanaku chuushi ni natta.
(The car’s fuel gauge was stuck on empty, and no matter how many times I turned the key, the engine wouldn’t start. The trip to the distant town had to be reluctantly canceled.)

この地域で唯一、再生可能な原料から作られた燃料を販売するスタンドは、トラック運転手たちの間で「未来の燃料」と呼ばれ親しまれている。
Kono chiiki de yuiitsu, saisei kanō na genryō kara tsukurareta nenryou o hanbai suru sutando wa, torakku unten-shu-tachi no aida de ""mira no nenryou"" to yobare shitashimarete iru.
(The only station in this area selling fuel made from renewable materials is affectionately known as “the fuel of the future” among truck drivers.)"
お湯,"<b>Word/Phrase</b>: お湯<br><b>Romaji</b>: oyu<br><b>Meaning</b>: air panas<br><b>Example</b>: 冬の夜、家族が集まる前に、お風呂の残った水を抜き、新しいお湯を沸かす準備をします。
fuyu no yoru, kazoku ga atsumaru mae ni, ofuro no nokotta mizu o nuki, atarashī oyu o wakasu junbi o shimasu.
(On a winter evening, before the family gathers, the leftover bathwater is drained and preparations are made to boil fresh hot water.)

温かい飲み物を楽しむ時、お湯の温度が下がらないよう、急須にしっかりフタをするのが大切です。
atatakai nomimono o tanoshimu toki, oyu no ondo ga sagaranai yō, kyūsu ni shikkari futa o suru no ga taisetsu desu.
(When enjoying a warm drink, it’s important to securely place the lid on the teapot so the hot water doesn’t lose its heat.)"
石油,"<b>Word/Phrase</b>: 石油<br><b>Romaji</b>: sekiyu<br><b>Meaning</b>: minyak bumi<br><b>Example</b>: 石油は世界中でとても大切な資源であり、現代の産業や交通手段を支える基盤となっています
sekiyu wa sekaijū de totemo taisetsu na shigen de ari, gendai no sangyō ya kōtsū shudan o sasaeru kiban to natte imasu
(Oil is a very important global resource and serves as the foundation supporting modern industry and transportation systems)

石油を精製することでガソリンやディーゼル燃料、さらにはプラスチック製品や化学繊維など、多岐にわたる製品の原料となります
sekiyu o seisei suru koto de gasorin ya dīzeru nenryō, sara ni wa purasuchikku seihin ya kagaku sen'i nado, taki ni wataru seihin no genryō to narimasu
(Through refining oil, it becomes the raw material for a wide range of products, including gasoline, diesel fuel, plastic goods, and synthetic fibers)"
資源,"<b>Word/Phrase</b>: 資源<br><b>Romaji</b>: shigen<br><b>Meaning</b>: resource <br><b>Example</b>: 地球にある資源は、使い続ければいつかなくなるため、今の私たちが将来の子どもたちのことを考えて、無駄なく利用する必要がある。
chikyū ni aru shigen wa, tsukaitsuzukereba itsuka nakunaru tame, ima no watashitachi ga shōrai no kodomotachi no koto o kangaete, mudanaku riyō suru hitsuyō ga aru.
(Since the resources on Earth will eventually run out if we keep using them, we must use them wisely, considering future children.)

石油や石炭などの資源は限られているので、風力や太陽光などの再生可能なエネルギーを活用する動きが世界中で広まっている。
sekiyu ya sekitan nado no shigen wa kagirareteiru node, fūryoku ya taiyōkō nado no saisei kanō na enerugī o katsuyō suru ugoki ga sekaijū de hiromatteiru.
(As resources like oil and coal are limited, the movement to utilize renewable energy such as wind and solar power is spreading worldwide.)"
台風,"<b>Word/Phrase</b>: 台風<br><b>Romaji</b>: taifuu<br><b>Meaning</b>: topan<br><b>Example</b>: 台風が近づいているので、外出を控え、家の補強や非常用品の準備をしておくことが大切です
taifū ga chikazuite iru node, gaishutsu o hikae, ie no hosokyō ya hijyōyōhin no junbi o shite oku koto ga taisetsu desu
(Since the typhoon is approaching, it is important to refrain from going out and prepare by reinforcing your home and emergency supplies)"
鉄,"<b>Word/Phrase</b>: 鉄<br><b>Romaji</b>: tetsu<br><b>Meaning</b>: iron<br><b>Example</b>: 鉄はとても重い金属で、橋やビルのような大きな建物を作るのに使われます。
Tetsu wa totemo omoi kinzoku de, hashi ya biru no yō na ōkina tatemono o tsukuru no ni tsukawaremasu.
(Iron is a very heavy metal that is essential for constructing large structures such as bridges and skyscrapers due to its durability.)

例えば、東京タワーは鉄でできていて、その赤い骨組みは夜になるとライトアップされ、都会の夜景を美しく彩ります。
Tatoeba, Tōkyō Tō wa tetsu de dekite ite, sono akai komumi wa yoru ni naru to raito appu sare, tokai no yakei o utsukushiku irodorimasu.
(For example, Tokyo Tower is made of iron, and its red framework is illuminated at night, beautifully enhancing the city’s nighttime skyline.)"
土地,"<b>Word/Phrase</b>: 土地<br><b>Romaji</b>: tochi<br><b>Meaning</b>: tanah<br><b>Example</b>: その土地は山や川があって自然が豊かで、四季折々の景色が楽しめます
sono tochi wa yama ya kawa ga atte shizen ga yutaka de, shiki oriori no keshiki ga tanoshimemasu
(That land has mountains and rivers with abundant nature, allowing you to enjoy the scenery of each season)

この土地は先祖から受け継いだ大切な財産で、将来的にも守り続けたいと思っています
kono tochi wa senzo kara uketsuida taisetsu na zaisan de, shōraitekini mo mamori tsuzuketai to omotte imasu
(This land is a precious inheritance passed down from my ancestors, and I want to continue protecting it for the future)"
少数,"<b>Word/Phrase</b>: 少数<br><b>Romaji</b>: shousuu<br><b>Meaning</b>: minority<br><b>Example</b>: 少数の人だけがその複雑な数学の定理を理解し、国際コンテストで優勝することができました
shōsū no hito dake ga sono fukuzatsu na suugaku no teiri o rikai shi, kokusai kontesuto de yūshō suru koto ga dekimashita
(Only a few people understood the complex mathematical theorem and were able to win the international contest)

少数の研究者が長年にわたり絶滅危惧種の生態系を調査し、画期的な保護策を提案しました
shōsū no kenkyūsha ga chōnen ni watari zetsumetsu kigu-shu no seitaikei o chōsa shi, kakitekina hogosaku o teianshimasita
(A small group of researchers investigated the ecosystem of endangered species over many years and proposed groundbreaking conservation measures)"
平均,"<b>Word/Phrase</b>: 平均<br><b>Romaji</b>: heikin<br><b>Meaning</b>: average<br><b>Example</b>: 日本の小中学生の身長を調べた結果、男子の平均が165センチメートル、女子が158センチメートルだった。これは、食生活や運動習慣が成長に大きく影響するためだと言われている。
Nihon no shōchūgakusei no shinchō o shirabeta kekka, danshi no heikin ga hyaku rokujū go senchimētoru, joshi ga hyaku gojū hachi senchimētoru datta. Kore wa, shokuseikatsu ya undō shūkan ga seichō ni ōkiku eikyō suru tame da to iwarete iru.
(The survey of Japanese elementary and junior high school students' heights showed that the average for boys was 165 centimeters and for girls 158 centimeters, which is said to be due to the significant impact of diet and exercise habits on growth.)

この町では平均年収が全国より低いものの、家賃や食品の値段が安いため、住民は「生活は十分に楽しい」と話す。
Kono machi de wa heikin nenshū ga zenkoku yori hikui mono no, yachin ya shokuhin no nedan ga yasui tame, jūmin wa ""seikatsu wa jūbun ni tanoshii"" to hanasu.
(In this town, although the average annual income is lower than the national level, residents say, ""Life is plenty enjoyable"" because rent and food prices are cheap.)"
合計,"<b>Word/Phrase</b>: 合計<br><b>Romaji</b>: goukei<br><b>Meaning</b>: total<br><b>Example</b>: 今日の買い物で、レジの合計金額が思ったより高くて驚いた。
kyō no kaimono de, reji no goukeikingaku ga omotta yori takakute odoraita.
(Today while shopping, I was surprised that the total at the register was higher than I expected.)

先月の電気代とガス代を合わせた合計が、予算を大きく超えてしまった。
sengetsu no denkidai to gasudai o awaseta goukei ga, yosan o ookiku koete shimatta.
(Last month’s combined total of electricity and gas bills went way over my budget.)"
最新,"<b>Word/Phrase</b>: 最新<br><b>Romaji</b>: saishin<br><b>Meaning</b>: latest<br><b>Example</b>: 最新のテクノロジーを使ったこの車は、環境に優しく燃費効率も抜群です
saishin no tekunorojī o tsukatta kono kuruma wa, kankyō ni yasashiku nenpi kōritsu mo bagun desu
(The latest technology used in this car is eco-friendly and has exceptional fuel efficiency)

最新の医療機器が導入されたこの病院では、高度な治療が短期間で受けられます
saishin no iryō kiki ga dōnyū sa reta kono byōin de wa, kōdo na chiryō ga tan-kikan de uke rare masu
(At this hospital equipped with the latest medical devices, advanced treatments can be received in a short period)"
以上,"<b>Word/Phrase</b>: 以上<br><b>Romaji</b>: ijou<br><b>Meaning</b>: more than, above<br><b>Example</b>: この店では、注文金額が3000円以上の場合、どこへでも無料で配送いたします。
Kono mise de wa, chūmon kingaku ga san-zen-en ijō no baai, doko e demo muryō de haisō itashimasu.
(At this store, if the order amount is over 3000 yen, we deliver free of charge anywhere.)

大学の課題は、指定された本を読んで、1200字以上の感想文を書くことになっている。
Daigaku no kadai wa, shitei sa reta hon o yonde, sen-ni-hyaku-ji ijō no kansōbun o kaku koto ni natte iru.
(The university assignment requires reading the designated book and writing an essay of over 1200 characters.)"
半,"<b>Word/Phrase</b>: 半<br><b>Romaji</b>: han<br><b>Meaning</b>: half<br><b>Example</b>: このレポートは半分まで書いたけど、残りの部分は明日の朝に仕上げるつもりだ。
kono repōto wa hanbun made kaita kedo, nokori no bubun wa ashita no asa ni shiageru tsumori da.
(Though I’ve written this report up to half, I plan to finish the remaining part tomorrow morning.)

友達と半分こにして食べたケーキは美味しかったが、もう少し甘さを控えめにしても良かったかも。
tomodachi to hanbunko ni shite tabeta kēki wa oishikatta ga, mō sukoshi amasa o hikaeme ni shitemo yokatta kamo.
(The cake I split half-and-half with my friend was delicious, but maybe it would’ve been better if the sweetness was toned down a bit.)"
番,"<b>Word/Phrase</b>: 番<br><b>Romaji</b>: ban<br><b>Meaning</b>: number (urutan)<br><b>Example</b>: このクラスでは、生徒たちが交代で掃除当番を担当し、その番が来た人は黒板をきれいにします。
kono kurasu de wa, seito-tachi ga kōtai de sōji tōban o tantō shi, sono ban ga kita hito wa kokuban o kirei ni shimasu.
(In this class, students take turns being assigned cleaning duty, and when their turn in the rotation comes, they clean the blackboard.)

テレビの番組表を見ると、人気アニメが決まった時間に番組として組み込まれている。
terebi no bangumi-hyō o miru to, ninki anime ga kimatta jikan ni bangumi to shite kumikoma re te iru.
(When you look at the TV program schedule, you can see that popular anime shows are incorporated as scheduled programs at fixed times.)"
番号,"<b>Word/Phrase</b>: 番号<br><b>Romaji</b>: bango<br><b>Meaning</b>: number (id)<br><b>Example</b>: この書類に記入する際は、指定された番号を間違えないように注意してください。
kono shorui ni kin'yū suru sai wa, shiteisareta bangō o machigaenai yō ni chūi shite kudasai.
(When filling out this form, please be careful not to make a mistake in the designated identification number.)

オンラインで手続きを行う時、画面に表示されるお客様番号を正確に入力することが必要です。
onrain de tetsuzuki o okonau toki, gamenn ni hyōji sareru okyakusama bangō o seikaku ni nyūryoku suru koto ga hitsuyō desu.
(When conducting procedures online, it is necessary to accurately enter the customer identification number displayed on the screen.)"
額,"<b>Word/Phrase</b>: 額<br><b>Romaji</b>: gaku<br><b>Meaning</b>: amount<br><b>Example</b>: この商品を購入する際に必要な金額は、税込みで3,200円です。
kono shōhin o kōnyū suru sai ni hitsuyō na kingaku wa, zeikomi de sanzen nihyaku en desu.
(The amount required to purchase this product is 3,200 yen including tax.)

注文を完了させる前に、画面に表示されている支払い金額が正しいかどうか、もう一度よく確認しましょう。
chūmon o kanryō saseru mae ni, gamenn ni hyōji sarete iru shiharai kingaku ga tadashii ka dō ka, mō ichido yoku kakunin shimashō.
(Before completing your order, carefully verify that the payment amount displayed on the screen is correct.)"
最初,"<b>Word/Phrase</b>: 最初<br><b>Romaji</b>: saisho<br><b>Meaning</b>: first<br><b>Example</b>: 私達は最初にこのプロジェクトの基本計画を練り、その後詳細なスケジュールを立てた
watashitachi wa saisho ni kono purojekuto no kihon keikaku o neri, sono go shōsai na sukejūru o tatera

(First, we worked out the basic plan for this project, then created a detailed schedule)

最初の授業で、先生は今学期の目標と評価基準について詳しく説明した
saisho no jugyō de, sensei wa kon gakki no mokuhyō to hyōka kijun ni tsuite kuwashiku setsumei shita

(In the first class, the teacher explained the goals and evaluation criteria for this term in detail)"
最後,"<b>Word/Phrase</b>: 最後<br><b>Romaji</b>: saigo<br><b>Meaning</b>: last<br><b>Example</b>: 最後の試験まであと一週間しかないので、毎日図書館で勉強しています
saigo no shiken made ato isshūkan shika nai node, mainichi toshokan de benkyō shite imasu
(There is only one week left until the final exam, so I study at the library every day)

最後のチャンスを逃さないように、全力で準備を進めています
saigo no chansu o nogasanai yō ni, zenryoku de junbi o susumete imasu
(So as not to miss the last opportunity, I am preparing with all my might)"
億,"<b>Word/Phrase</b>: 億<br><b>Romaji</b>: oku<br><b>Meaning</b>: ratus juta<br><b>Example</b>: 日本は世界でも人口が多い国の一つで、約一億二千万人が暮らしている。
Nihon wa sekai demo jinkō ga ōi kuni no hitotsu de, yaku ichioku nisenman-nin ga kurashiteiru.
(Japan is one of the most populous countries in the world, with approximately 120 million people living there.)

この大規模なプロジェクトは、五百億円以上の予算が組まれており、多くの専門家が参加している。
Kono daikibo na purojekuto wa, gohyaku oku-en ijō no yosan ga kumareteori, ōku no senmonka ga sanka shiteiru.
(This large-scale project has a budget exceeding 500 billion yen, with many experts participating in it.)"
平均,"<b>Word/Phrase</b>: 平均<br><b>Romaji</b>: heikin<br><b>Meaning</b>: average<br><b>Example</b>: 日本の小中学生の身長を調べたデータによると、男子の平均は165センチメートル、女子は158センチメートルで、食生活や睡眠時間が成長に大きく関係していることが分かってきた。
Nihon no shōchūgakusei no shinchō o shirabeta dēta ni yoru to, danshi no heikin wa hyaku rokujū go sentimētoru, joshi wa hyaku gojū hachi sentimētoru de, shokuseikatsu ya suimin jikan ga seichō ni ōkiku kankei shite iru koto ga wakatte kita.
(According to data surveying the heights of elementary and junior high school students in Japan, the average for boys is 165 cm and for girls is 158 cm, and it has become clear that diet and sleep duration are closely related to growth.)

この市では平均所得が全国の数字を上回り、住民の生活水準が高まる一方で、教育や医療への投資も増え、地域全体の発展につながっている。
Kono shi de wa heikin shotoku ga zenkoku no sūji o uwamawari, jūmin no seikatsu suijun ga takamaru ichimen de, kyōiku ya iryō e no tōshi mo fue, chiiki zentai no hatten ni tsunagatte iru.
(In this city, where the average income exceeds national figures, the standard of living for residents is improving, and increased investment in education and healthcare is contributing to the overall development of the region.)"
多数,"<b>Word/Phrase</b>: 多数<br><b>Romaji</b>: tasuu<br><b>Meaning</b>: majority<br><b>Example</b>: 多数の参加者がこのイベントで熱心に議論し、新しいプロジェクトの方向性について意見を交わした
tasuu no sanka-sha ga kono ibento de nesshin ni giron shi, atarashii purojekuto no hōkōsei ni tsuite iken o kawashita
(A large number of participants passionately discussed and exchanged opinions on the direction of the new project at this event)

---
多数の科学者が長年にわたりこの現象を研究し、複数の仮説を実験を通じて検証してきた
tasuu no kagakusha ga naganen ni watari kono genshō o kenkyū shi, fukusū no kasetsu o jikken o tsūjite kenshō shite kita
(A majority of scientists have studied this phenomenon for many years, verifying multiple hypotheses through experiments)"
缶,"<b>Word/Phrase</b>: 缶<br><b>Romaji</b>: kan<br><b>Meaning</b>: kaleng<br><b>Example</b>: 缶を集めてリサイクルするのは環境保護につながり、未来の子供たちのためにもとても大切なことです
kan o atsumete risaikuru suru no wa kankyō hogo ni tsunagari, mirai no kodomo-tachi no tame ni mo totemo taisetsu na koto desu
(Collecting cans for recycling is connected to environmental protection and is very important for the future of our children)

缶を捨てる前に、中身をきれいに洗って乾かすことで、リサイクルの効率も上がります
kan o suteru mae ni, nakami o kirei ni araitte kawakasu koto de, risaikuru no kōritsu mo agarimasu
(Before throwing away cans, washing and drying the inside cleanly also improves recycling efficiency)"
網棚,"<b>Word/Phrase</b>: 網棚<br><b>Romaji</b>: amidana<br><b>Meaning</b>: rak (semacam di kereta)<br><b>Example</b>: 電車に乗るとすぐ、空いている網棚を見つけて荷物をしまい、隣の乗客に軽く会釈した。
densha ni noru to sugu, aiteiru amidana o mitsukete nimotsu o shimai, tonari no jōkyaku ni karuku eshaku shita.
(As soon as I boarded the train, I found an empty overhead rack to stow my luggage and gave a slight nod to the passenger beside me.)

出発間近の混雑した車内で、網棚にバッグを上げようと何度も手を伸ばした。
shuppatsu makan no konmatsu shita shanai de, amidana ni baggu o ageyou to nando mo te o nobashita.
(In the crowded train just before departure, I repeatedly reached up to lift my bag onto the overhead rack.)"
爆弾,"<b>Word/Phrase</b>: 爆弾<br><b>Romaji</b>: bakudan<br><b>Meaning</b>: bom<br><b>Example</b>: 駅のロッカーで不審な荷物が見つかり、爆弾の可能性があると判断されたため、一時的に駅構内が封鎖された。
Eki no rokkaa de fushin na nimotsu ga mitsukari, bakudan no kanōsei ga aru to handan sa reta tame, ichijiteki ni eki konai ga fūsa sa reta.
(At the station, a suspicious package was found in a locker, and since it was judged to possibly be a bomb, the station was temporarily locked down.)

先月、公園で爆弾らしき物体が発見され、周辺の道路が通行止めになったが、幸いにも偽物だったことが後にわかった。
Sengetsu, kōen de bakudan rashiki buttai ga hakken sa re, shūhen no dōro ga tsūkōdome ni natta ga, saiwai ni mo nisemono datta koto ga nochi ni wakatta.
(Last month, an object resembling a bomb was discovered in a park, causing nearby roads to be closed, but it was later found to be a fake.)"
別,"<b>Word/Phrase</b>: 別<br><b>Romaji</b>: betsu<br><b>Meaning</b>: something different<br><b>Example</b>: 別の道を歩いていると、新しい風景や出会いに恵まれ、予期せぬ発見があるかもしれません
betsu no michi o aruite iru to, atarashii fūkei ya deai ni megumare, yoki se nu hakken ga aru kamo shirenai
(If you walk down a different path, you might encounter new scenery and people, leading to unexpected discoveries)

この本は前のシリーズと全く別の歴史的背景を持つテーマで構成されており、読者に新たな視点を提供します
kono hon wa mae no shirīzu to mattaku betsu no rekishiteki haikei o motsu tēma de kōsei sa re te o ri, doku sha ni arata na shiten o teikyō shi masu
(This book is composed of themes with completely different historical backgrounds from the previous series, offering readers fresh perspectives)"
瓶,"<b>Word/Phrase</b>: 瓶<br><b>Romaji</b>: bin<br><b>Meaning</b>: botol kaca<br><b>Example</b>: 瓶の中に水が入っているので、飲みたい時に飲めます
bin no naka ni mizu ga haitte iru node, nomitai toki ni nomemasu
(Karena ada air di dalam botol, Anda bisa minum ketika ingin minum)

瓶を洗ってから、新しいジュースを入れました
bin o aratte kara, atarashii jūsu o iremashita
(Saya mencuci botol lalu memasukkan jus baru ke dalamnya)"
蓋,"<b>Word/Phrase</b>: 蓋<br><b>Romaji</b>: futa<br><b>Meaning</b>: lid<br><b>Example</b>: 蓋を閉める前に、中の食べ物が冷めないように、少し温めておいた方がいいです
Futa o shimeru mae ni, naka no tabemono ga samenai yō ni, sukoshi atatamete oite oku hō ga ii desu
(Sejak sebelum menutup tutupnya, agar makanan di dalamnya tidak dingin, lebih baik sedikit dipanaskan terlebih dahulu)

この蓋のデザインはとてもきれいで、箱の見た目もよくなります
Kono futa no dezain wa totemo kirei de, hako no mitame mo yoku narimasu
(Rancangan tutup ini sangat indah, sehingga kotaknya juga terliihat bagus)"
宝庫,"<b>Word/Phrase</b>: 宝庫<br><b>Romaji</b>: houko<br><b>Meaning</b>: harta karun<br><b>Example</b>: この図書館は本の宝庫で、歴史や科学、小説など、いろいろなジャンルの本がたくさんあります
kono toshokan wa hon no hōko de, rekishi ya kagaku, shōsetsu nado, ironna janru no hon ga takusan arimasu
(This library is a treasure trove of books, with many books from various genres like history, science, and novels)"
